Code 1,Code Description Text,Full Description text,length
V31,OCCUPANT OF 3 WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE,3
V310,"OCCUPANT OF 3WHEEL M.V. INJ IN COLLISION WITH BICYCLE, NONTRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE; DRIVER INJURED IN NONTRAFFIC ACCIDENT,4
V311,"PASSENGER IN 3WHEEL M.V. INJ IN COLLISION WITH BICYCLE, NONTRAFFIC ACCID",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE; PASSENGER INJURED IN NONTRAFFIC ACCIDENT,4
V312,"PERSON ON OUTSIDE OF 3WHEEL M.V.INJ IN COLLIS WITH BICYCLE, NONTRAFF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE; PERSON ON OUTSIDE OF VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V313,"OCCUPANT NOS OF 3WHEEL M.V. INJ IN COLLIS WITH BICYCLE,  NONTRAFFIC ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V314,"OCCUPANT OF 3WHEEL M.V.INJ WHILE GETTING IN OR OUT,IN COLLIS WITH BICYCLE",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE; PERSON INJURED WHILE BOARDING OR ALIGHTING,4
V315,"DRIVER OF 3WHEEL M.V. INJ IN COLLISION WITH BICYCLE, TRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE; DRIVER INJURED IN TRAFFIC ACCIDENT,4
V316,"PASSENGER IN 3WHEEL M.V. INJ IN COLLISION WITH BICYCLE,TRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE; PASSENGER INJURED IN TRAFFIC ACCIDENT,4
V317,"PERSON ON OUT SIDE OF 3WHEEL M.V.INJ IN COLLISION WITH BICYCLE, TRAFF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE; PERSON ON OUTSIDE OF VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V319,"OCCUPANT NOS OF 3WHEEL M.V.INJ IN COLLISION WITH BICYCLE,TRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V32,OCCUPANT OF 3 WHEELED M.V. INJURED IN COLLISION WITH 2 OR 3 WHEELED M.V.,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE,3
V320,DRIVER OF 3WHEEL M.V.INJ IN COLLISION WITH 2OR3WHEEL M.V. NONTRAFF ACC,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE; DRIVER INJURED IN NONTRAFFIC ACCIDENT,4
V321,PASSENGER IN 3WHEEL M.V.INJ IN COLLIS WITH 2OR3WHEEL M.V. NONTRAFF ACC,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE; PASSENGER INJURED IN NONTRAFFIC ACCIDENT,4
V322,"PERSON ON OUTSIDE OF 3WHEEL M.V.INJ IN COLLIS W 2OR3WHEEL M.V, NONTRAF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE; PERSON ON OUTSIDE OF VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V323,OCCUPANT NOS OF 3WHEEL M.V.INJ IN COLLIS W 2OR3WHEEL M.V. NONTRAFFIC ACC,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V324,"OCC.OF 3WHEEL M.V.INJ WHEN GETTING IN/OUT,IN COLLIS WITH 2OR3WHEEL M.V.",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE; PERSON INJURED WHILE BOARDING OR ALIGHTING,4
V325,"DRIVER OF 3WHEEL M.V.INJ IN COLLISION WITH 2OR3WHEEL M.V., TRAFFIC ACCID",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE; DRIVER INJURED IN TRAFFIC ACCIDENT,4
V326,"PASSENGER IN 3WHEEL M.V.INJ IN COLLISION WITH 2OR3WHEEL M.V., TRAFF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE; PASSENGER INJURED IN TRAFFIC ACCIDENT,4
V327,"PERSON ON OUTSIDE OF 3WHEEL M.V.INJ IN COLLIS W. 2OR3WHEEL M.V., TRAFF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE; PERSON ON OUTSIDE OF VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V329,"OCCUPANT NOS OF 3WHEEL M.V.INJ IN COLLIS WITH 2OR3WHEEL M.V., TRAFFIC ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V33,OCCUPANT OF 3 WHEELED M.V. INJURED IN COLLISION WITH CAR/PICK-UP TRUCK/VAN,"OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN",3
V330,"DRIVER OF 3WHEEL M.V.INJ IN COLLISION WITH CAR/PICK-UP/VAN, NONTRAFFIC ACC","OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN; DRIVER INJURED IN NONTRAFFIC ACCIDENT",4
V331,"PASSENGER IN 3WHEEL M.V.INJ IN COLLIS WITH CAR/PICK-UP/VAN,NONTRAFF ACC","OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN; PASSENGER INJURED IN NONTRAFFIC ACCIDENT",4
V332,"PERSON ON O/SIDE OF 3WHEEL M.V.INJ IN COLLIS W.CAR/PICK-UP/VAN,NONTRAF ACC","OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN; PERSON ON OUTSIDE OF VEHICLE INJURED IN NONTRAFFIC ACCIDENT",4
V333,"OCCUPANT OF 3WHEEL M.V.INJ IN COLLIS WITH CAR/PICK-UP/VAN, NONTRAFFIC ACC","OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONTRAFFIC ACCIDENT",4
V334,"OCCUPANT OF 3WHEEL M.V.INJ WHEN GETTING IN/OUT,IN COLLIS W.CAR/PICK-UP/VAN","OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN; PERSON INJURED WHILE BOARDING OR ALIGHTING",4
V335,"DRIVER OF 3WHEEL M.V.INJ IN COLLISION WITH CAR/PICK-UP/VAN, TRAFFIC ACCID","OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN; DRIVER INJURED IN TRAFFIC ACCIDENT",4
V336,"PASSENGER IN 3WHEEL M.V.INJ IN COLLIS W. CAR/PICK-UP/VAN,TRAFFIC ACCIDENT","OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN; PASSENGER INJURED IN TRAFFIC ACCIDENT",4
V337,"PERSON ON O/SIDE OF 3WHEEL M.V.INJ IN COLLIS W.CAR/PICK-UP/VAN, TRAFF ACC","OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN; PERSON ON OUTSIDE OF VEHICLE INJURED IN TRAFFIC ACCIDENT",4
V339,"OCCUPANT OF 3WHEEL M.V.INJ IN COLLIS WITH CAR/PICK-UP/VAN, TRAFFIC ACCID","OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN TRAFFIC ACCIDENT",4
V34,OCC OF 3 WHEELED M.V. INJURED IN COLLISION WITH HEAVY TRANSP VEHICLE/BUS,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS,3
V340,"DRIVER OF 3WHEEL M.V.INJ IN COLLISION WITH HGV/BUS, NONTRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS; DRIVER INJURED IN NONTRAFFIC ACCIDENT,4
V341,"PASSENGER IN 3WHEEL M.V.INJ IN COLLIS WITH HGV/BUS, NONTRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS; PASSENGER INJURED IN NONTRAFFIC ACCIDENT,4
V342,"PERSON ON OUTSIDE OF 3WHEEL M.V.INJ IN COLLIS W.HGV/BUS,NONTRAFF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS; PERSON ON OUTSIDE OF VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V343,"OCCUPANT OF 3WHEEL M.V.INJ IN COLLISION WITH HGV/BUS, NONTRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V344,"OCCUPANT OF 3WHEEL M.V.INJ WHILE GETTING IN/OUT,IN COLLIS WITH HGV/BUS",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS; PERSON INJURED WHILE BOARDING OR ALIGHTING,4
V345,"DRIVER OF 3WHEEL M.V.INJ IN COLLISION WITH HGV/BUS, TRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS; DRIVER INJURED IN TRAFFIC ACCIDENT,4
V346,"PASSENGER IN 3WHEEL M.V.INJ IN COLLIS WITH HGV/BUS, TRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS; PASSENGER INJURED IN TRAFFIC ACCIDENT,4
V347,"PERSON ON OUTSIDE OF 3WHEEL M.V.INJ IN COLLIS WITH HGV/BUS, TRAFFIC ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS; PERSON ON OUTSIDE OF VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V349,"OCCUPANT OF 3WHEEL M.V.INJ IN COLLISION WITH HGV/BUS, TRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V35,OCC OF 3 WHEELED M.V. INJURED IN COLLISION WITH TRAIN OR RAILWAY VEHICLE,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE,3
V350,"DRIVER OF 3WHEEL M.V.INJ IN COLLIS WITH TRAIN/RLWY VEHICLE, NONTRAFF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE; DRIVER INJURED IN NONTRAFFIC ACCIDENT,4
V351,"PASSENGER IN 3WHEEL M.V.INJ IN COLLIS W.TRAIN/RLY VEHICLE, NONTRAFF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE; PASSENGER INJURED IN NONTRAFFIC ACCIDENT,4
V352,"PERSON ON O/SIDE OF 3WHEEL M.V.INJ IN COLLIS W.TRAIN/RLY VEHIC,NONTRAF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE; PERSON ON OUTSIDE OF VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V353,"OCCUPANT OF 3WHEEL M.V.INJ IN COLLIS WITH TRAIN/RLWY VEHICLE, NONTRAFF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V354,"OCCUPANT OF 3WHEEL M.V INJ WHEN GETTING IN/OUT,IN COLLIS W.TRAIN/RLY VEHIC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE; PERSON INJURED WHILE BOARDING OR ALIGHTING,4
V355,"DRIVER OF 3WHEEL M.V.INJ IN COLLIS WITH TRAIN/RLWY VEHICLE, TRAFFIC ACCID",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE; DRIVER INJURED IN TRAFFIC ACCIDENT,4
V356,"PASSENGER IN 3WHEEL M.V.INJ IN COLLIS WITH TRAIN/RLWY VEHICLE, TRAFFIC ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE; PASSENGER INJURED IN TRAFFIC ACCIDENT,4
V357,"PERSON ON O/SIDE OF 3WHEEL M.V.INJ IN COLLIS W.TRAIN/RLY VEHICLE,TRAFF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE; PERSON ON OUTSIDE OF VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V359,"OCCUPANT OF 3WHEEL M.V.INJ IN COLLIS WITH TRAIN/RLY VEHICLE, TRAFFIC ACCID",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V36,OCC OF 3 WHEELED M.V. INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE,3
V360,"DRIVER OF 3WHEEL M.V.INJ IN COLLIS WITH NONMOTOR VEHICLE, NONTRAFFIC ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE; DRIVER INJURED IN NONTRAFFIC ACCIDENT,4
V361,"PASSENGER IN 3WHEEL M.V.INJ IN COLLIS W.NONMOTOR VEHICLE, NONTRAFF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE; PASSENGER INJURED IN NONTRAFFIC ACCIDENT,4
V362,"PERSON ON O/SIDE OF 3WHEEL M.V.INJ IN COLLIS W.NONMOTOR VEHIC,NONTRAFF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE; PERSON ON OUTSIDE OF VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V363,"OCCUPANT OF 3WHEEL M.V.INJ IN COLLIS W.NONMOTOR VEHICLE, NONTRAFFIC ACCID",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V364,"OCCUPANT OF 3WHEEL M.V.INJ WHEN GETTING IN/OUT,IN COLLIS W.NONMOTOR VEHIC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE; PERSON INJURED WHILE BOARDING OR ALIGHTING,4
V365,"DRIVER OF 3WHEEL M.V.INJ IN COLLIS WITH NONMOTOR VEHICLE, TRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE; DRIVER INJURED IN TRAFFIC ACCIDENT,4
V366,"PASSENGER IN 3WHEEL M.V.INJURED IN COLLIS W.NONMOTOR VEHICLE, TRAFF ACCID",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE; PASSENGER INJURED IN TRAFFIC ACCIDENT,4
V367,"PERSON ON OUTSIDE OF 3WHEEL M.V.INJ IN COLLIS W.NONMOTOR VEHICLE,TRAFF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE; PERSON ON OUTSIDE OF VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V369,"OCCUPANT OF 3WHEEL M.V.INJ IN COLLIS WITH NONMOTOR VEHICLE,TRAFFIC ACCID",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V37,OCC OF 3 WHEELED M.V. INJURED IN COLLISION WITH FIXED/STATIONARY OBJECT,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT,3
V370,"DRIVER OF 3WHEEL M.V.INJ IN COLLIS WITH FIXED/STAT OBJECT,NONTRAFFIC ACCID",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT; DRIVER INJURED IN NONTRAFFIC ACCIDENT,4
V371,"PASSENGER IN 3WHEEL M.V.INJ IN COLLIS W.FIXED/STAT OBJECT,NONTRAFFIC ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT; PASSENGER INJURED IN NONTRAFFIC ACCIDENT,4
V372,"PERS.ON O/SIDE OF 3WHEEL M.V.INJ IN COLLIS W.FIXED/STAT OBJECT,NONTRAF ACC",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT; PERSON ON OUTSIDE OF VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V373,"OCCUPANT OF 3WHEEL M.V.INJ IN COLLIS W.FIXED/STAT OBJECT, NONTRAFFIC ACCID",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V374,"OCCUPANT OF 3WHEEL M.V.INJ WHEN GETTING IN/OUT,IN COLLIS W.FIXED/STAT OBJ",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT; PERSON INJURED WHILE BOARDING OR ALIGHTING,4
V375,"DRIVER OF 3WHEEL M.V.INJ IN COLLIS WITH FIXED/STAT OBJECT,TRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT; DRIVER INJURED IN TRAFFIC ACCIDENT,4
V376,"PASSENGER IN 3WHEEL M.V.INJ IN COLLIS W.FIXED/STAT OBJECT,TRAFFIC ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT; PASSENGER INJURED IN TRAFFIC ACCIDENT,4
V377,"PERSON ON 3WHEEL M.V.INJ IN COLLIS WITH FIXED/STAT OBJECT, TRAFFIC ACCID",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT; PERSON ON OUTSIDE OF VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V379,"OCCUPANT OF 3WHEEL M.V.INJ IN COLLIS WITH FIXED/STAT OBJECT, TRAFFIC ACCID",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V38,OCCUPANT OF 3 WHEELED M.V. INJURED IN NONCOLLISION TRANSPORT ACCIDENT,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT,3
V380,DRIVER OF 3WHEEL M.V.INJ IN NONTRAFFIC NONCOLLISION TRANSPORT ACCIDENT,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT; DRIVER INJURED IN NONTRAFFIC ACCIDENT,4
V381,PASSENGER IN 3WHEEL M.V.INJ IN NONTRAFFIC NONCOLLISION TRANSPORT ACCIDENT,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT; PASSENGER INJURED IN NONTRAFFIC ACCIDENT,4
V382,PERSON ON OUTSIDE OF 3WHEEL M.V.INJ IN NONTRAFF NONCOLLISION TRANSPORT ACC,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT; PERSON ON OUTSIDE OF VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V383,OCCUPANT OF 3WHEEL M.V.INJ IN NONTRAFFIC NONCOLLISION TRANSPORT ACCIDENT,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONTRAFFIC ACCIDENT,4
V384,OCCUPANT OF 3WHEEL M.V.INJ WHEN GETTING IN/OUT IN NONCOLLIS TRANSPORT ACC,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT; PERSON INJURED WHILE BOARDING OR ALIGHTING,4
V385,DRIVER OF 3WHEEL M.V.INJURED IN TRAFFIC NONCOLLISION TRANSPORT ACCIDENT,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT; DRIVER INJURED IN TRAFFIC ACCIDENT,4
V386,OCCUPANT OF 3WHEEL M.V.INJ IN TRAFFIC NONCOLLISION TRANSPORT ACCIDENT,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT; PASSENGER INJURED IN TRAFFIC ACCIDENT,4
V387,"PERSON ON O/SIDE OF 3WHEEL M.V.INJ IN TRAFFIC,NONCOLLIS TRANSPORT ACCIDENT",OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT; PERSON ON OUTSIDE OF VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V389,OCCUPANT OF 3WHEEL M.V.INJ IN TRAFFIC NONCOLLISION TRANSPORT ACCIDENT,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT; UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN TRAFFIC ACCIDENT,4
V39,OCCUPANT OF 3 WHEELED M.V. INJURED IN UNSPECIFIED TRANSPORT ACCIDENTS,OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN OTHER AND UNSPECIFIED TRANSPORT ACCIDENTS,3
V390,DRIVER INJ IN COLLISION WITH OTHER & UNSPEC M V IN NONTRAFFIC ACCIDENT,DRIVER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT,4
V391,PASSENGER INJ IN COLLISION WITH OTHER & UNSPEC M V IN NONTRAFFIC ACCIDENT,PASSENGER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT,4
V392,OCC OF 3-WHEELED M V INJ IN COLLISION WITH OTHER M V IN NONTRAF ACCIDENT,UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT,4
V393,OCCUPANT OF 3-WHEELED MOTOR VEHICLE INJ IN UNSPECIFIED NONTRAFFIC ACCIDENT,OCCUPANT [ANY] OF THREE-WHEELED MOTOR VEHICLE INJURED IN UNSPECIFIED NONTRAFFIC ACCIDENT,4
V394,DRIVER INJ IN COLLISION WITH OTHER AND UNSPECIFIED M V IN TRAFFIC ACCIDENT,DRIVER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT,4
V395,PASSENGER INJ IN COLLISION WITH OTHER & UNSPEC M V IN TRAFFIC ACCIDENT,PASSENGER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT,4
V396,OCC OF 3-WHEELED M V INJ IN COLLISION WITH OTHER M V IN TRAFFIC ACCIDENT,UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT,4
